fromTaz,toTaz,flow
taz_10,taz_11,1221
taz_10,taz_12,1716
taz_10,taz_13,288
taz_10,taz_14,1604
taz_10,taz_15,1606
taz_10,taz_16,1079
taz_10,taz_17,1604
taz_10,taz_18,760
taz_10,taz_19,553
taz_10,taz_2,1109
taz_10,taz_20,957
taz_10,taz_21,1147
taz_10,taz_22,1759
taz_10,taz_23,1019
taz_10,taz_24,872
taz_10,taz_25,381
taz_10,taz_26,1784
taz_10,taz_27,250
taz_10,taz_28,783
taz_10,taz_29,225
taz_10,taz_3,1923
taz_10,taz_30,1786
taz_10,taz_31,1948
taz_10,taz_32,970
taz_10,taz_33,1001
taz_10,taz_34,1179
taz_10,taz_35,1701
taz_10,taz_36,1456
taz_10,taz_37,1713
taz_10,taz_38,720
taz_10,taz_39,464
taz_10,taz_4,1732
taz_10,taz_40,1326
taz_10,taz_41,815
taz_10,taz_42,1635
taz_10,taz_43,173
taz_10,taz_44,1814
taz_10,taz_45,360
taz_10,taz_46,1420
taz_10,taz_47,1238
taz_10,taz_48,1095
taz_10,taz_49,289
taz_10,taz_5,1463
taz_10,taz_50,707
taz_10,taz_51,870
taz_10,taz_52,1225
taz_10,taz_53,1581
taz_10,taz_54,883
taz_10,taz_55,1511
taz_10,taz_56,820
taz_10,taz_57,1195
taz_10,taz_58,1665
taz_10,taz_59,182
taz_10,taz_6,1531
taz_10,taz_60,1893
taz_10,taz_61,1394
taz_10,taz_62,153
taz_10,taz_63,1962
taz_10,taz_64,1564
taz_10,taz_65,1785
taz_10,taz_66,519
taz_10,taz_67,1223
taz_10,taz_68,334
taz_10,taz_69,906
taz_10,taz_7,1057
taz_10,taz_70,386
taz_10,taz_71,292
taz_10,taz_72,1739
taz_10,taz_73,44
taz_10,taz_74,1184
taz_10,taz_75,192
taz_10,taz_76,197
taz_10,taz_77,1918
taz_10,taz_78,813
taz_10,taz_79,1825
taz_10,taz_8,246
taz_10,taz_80,1229
taz_10,taz_81,1652
taz_10,taz_82,262
taz_10,taz_83,1367
taz_10,taz_84,1665
taz_10,taz_85,604
taz_10,taz_86,524
taz_10,taz_87,445
taz_10,taz_88,1466
taz_10,taz_89,833
taz_10,taz_9,1638
taz_10,taz_91,342
taz_10,taz_92,1159
taz_10,taz_93,45
taz_10,taz_94,1666
taz_10,taz_95,1092
taz_10,taz_96,445
taz_10,taz_97,1196
taz_10,taz_98,835
taz_10,taz_99,1050
taz_100,taz_0,46
taz_100,taz_1,1214
taz_100,taz_10,1810
taz_100,taz_101,750
taz_100,taz_11,1827
taz_100,taz_12,1670
taz_100,taz_13,328
taz_100,taz_14,837
taz_100,taz_15,930
taz_100,taz_16,826
taz_100,taz_17,323
taz_100,taz_18,1549
taz_100,taz_19,1586
taz_100,taz_2,1112
taz_100,taz_20,1175
taz_100,taz_21,1291
taz_100,taz_22,593
taz_100,taz_23,1198
taz_100,taz_24,214
taz_100,taz_25,908
taz_100,taz_26,104
taz_100,taz_27,1792
taz_100,taz_28,1991
taz_100,taz_29,303
taz_100,taz_3,526
taz_100,taz_30,1990
taz_100,taz_31,1001
taz_100,taz_32,226
taz_100,taz_33,425
taz_100,taz_34,285
taz_100,taz_35,924
taz_100,taz_36,1959
taz_100,taz_37,66
taz_100,taz_38,1828
taz_100,taz_39,1477
taz_100,taz_4,1991
taz_100,taz_40,1604
taz_100,taz_41,1422
taz_100,taz_42,369
taz_100,taz_43,922
taz_100,taz_44,219
taz_100,taz_45,1648
taz_100,taz_46,635
taz_100,taz_47,598
taz_100,taz_48,1590
taz_100,taz_49,811
taz_100,taz_5,499
taz_100,taz_50,257
taz_100,taz_51,113
taz_100,taz_52,1984
taz_100,taz_53,190
taz_100,taz_54,1368
taz_100,taz_55,1313
taz_100,taz_56,685
taz_100,taz_57,925
taz_100,taz_58,965
taz_100,taz_59,1791
taz_100,taz_6,7
taz_100,taz_60,1295
taz_100,taz_61,1976
taz_100,taz_62,154
taz_100,taz_63,1161
taz_100,taz_64,1123
taz_100,taz_65,1927
taz_100,taz_66,1701
taz_100,taz_67,350
taz_100,taz_68,483
taz_100,taz_69,252
taz_100,taz_7,1197
taz_100,taz_70,813
taz_100,taz_71,1325
taz_100,taz_72,373
taz_100,taz_73,209
taz_100,taz_74,1956
taz_100,taz_75,1724
taz_100,taz_76,1312
taz_100,taz_77,1368
taz_100,taz_78,268
taz_100,taz_79,1584
taz_100,taz_8,1820
taz_100,taz_80,1532
taz_100,taz_81,1440
taz_100,taz_82,1019
taz_100,taz_83,1146
taz_100,taz_84,1355
taz_100,taz_85,1575
taz_100,taz_86,1096
taz_100,taz_87,755
taz_100,taz_88,527
taz_100,taz_89,705
taz_100,taz_9,660
taz_100,taz_91,869
taz_100,taz_92,333
taz_100,taz_93,1244
taz_100,taz_94,1131
taz_100,taz_95,287
taz_100,taz_96,729
taz_100,taz_97,764
taz_100,taz_98,1070
taz_100,taz_99,178
taz_101,taz_0,1792
taz_101,taz_1,1540
taz_101,taz_10,135
taz_101,taz_100,33
taz_101,taz_11,1958
taz_101,taz_12,241
taz_101,taz_13,1024
taz_101,taz_14,1132
taz_101,taz_15,1933
taz_101,taz_16,494
taz_101,taz_17,760
taz_101,taz_18,1770
taz_101,taz_19,29
taz_101,taz_2,1483
taz_101,taz_20,1568
taz_101,taz_21,1336
taz_101,taz_22,1344
taz_101,taz_23,714
taz_101,taz_24,1658
taz_101,taz_25,287
taz_101,taz_26,486
taz_101,taz_27,336
taz_101,taz_28,684
taz_101,taz_29,1264
taz_101,taz_3,1949
taz_101,taz_30,137
taz_101,taz_31,278
taz_101,taz_32,602
taz_101,taz_33,1606
taz_101,taz_34,244
taz_101,taz_35,1591
taz_101,taz_36,740
taz_101,taz_37,439
taz_101,taz_38,919
taz_101,taz_39,384
taz_101,taz_4,697
taz_101,taz_40,1617
taz_101,taz_41,845
taz_101,taz_42,954
taz_101,taz_43,803
taz_101,taz_44,1691
taz_101,taz_45,1603
taz_101,taz_46,1976
taz_101,taz_47,856
taz_101,taz_48,1015
taz_101,taz_49,380
taz_101,taz_5,403
taz_101,taz_50,567
taz_101,taz_51,5
taz_101,taz_52,1412
taz_101,taz_53,37
taz_101,taz_54,6
taz_101,taz_55,1732
taz_101,taz_56,1441
taz_101,taz_57,1998
taz_101,taz_58,181
taz_101,taz_59,48
taz_101,taz_6,1495
taz_101,taz_60,1380
taz_101,taz_61,447
taz_101,taz_62,1408
taz_101,taz_63,369
taz_101,taz_64,309
taz_101,taz_65,1800
taz_101,taz_66,573
taz_101,taz_67,1460
taz_101,taz_68,172
taz_101,taz_69,41
taz_101,taz_7,232
taz_101,taz_70,1397
taz_101,taz_71,1980
taz_101,taz_72,1298
taz_101,taz_73,155
taz_101,taz_74,1953
taz_101,taz_75,1029
taz_101,taz_76,463
taz_101,taz_77,380
taz_101,taz_78,1509
taz_101,taz_79,694
taz_101,taz_8,119
taz_101,taz_80,1791
taz_101,taz_81,654
taz_101,taz_82,867
taz_101,taz_83,1101
taz_101,taz_84,1774
taz_101,taz_85,391
taz_101,taz_86,907
taz_101,taz_87,851
taz_101,taz_88,1374
taz_101,taz_89,1135
taz_101,taz_9,348
taz_101,taz_91,302
taz_101,taz_92,824
taz_101,taz_93,1293
taz_101,taz_94,1936
taz_101,taz_95,418
taz_101,taz_96,387
taz_101,taz_97,884
taz_101,taz_98,1954
taz_101,taz_99,673
taz_11,taz_0,898
taz_11,taz_1,67
taz_11,taz_10,195
taz_11,taz_100,1856
taz_11,taz_101,1175
taz_11,taz_12,923
taz_11,taz_13,412
taz_11,taz_14,1339
taz_11,taz_15,1763
taz_11,taz_16,1212
taz_11,taz_17,941
taz_11,taz_18,1976
taz_11,taz_19,1794
taz_11,taz_2,482
taz_11,taz_20,512
taz_11,taz_21,1370
taz_11,taz_22,1975
taz_11,taz_23,457
taz_11,taz_24,199
taz_11,taz_25,584
taz_11,taz_26,644
taz_11,taz_27,1618
taz_11,taz_28,1347
taz_11,taz_29,1091
taz_11,taz_3,1022
taz_11,taz_30,1047
taz_11,taz_31,388
taz_11,taz_32,1894
taz_11,taz_33,569
taz_11,taz_34,1262
taz_11,taz_35,1567
taz_11,taz_36,641
taz_11,taz_37,732
taz_11,taz_38,52
taz_11,taz_39,1439
taz_11,taz_4,57
taz_11,taz_40,678
taz_11,taz_41,1995
taz_11,taz_42,1356
taz_11,taz_43,815
taz_11,taz_44,816
taz_11,taz_45,1875
taz_11,taz_46,639
taz_11,taz_47,1719
taz_11,taz_48,1388
taz_11,taz_49,888
taz_11,taz_5,1112
taz_11,taz_50,1145
taz_11,taz_51,208
taz_11,taz_52,1818
taz_11,taz_53,1857
taz_11,taz_54,1048
taz_11,taz_55,1236
taz_11,taz_56,494
taz_11,taz_57,507
taz_11,taz_58,1262
taz_11,taz_59,258
taz_11,taz_6,1617
taz_11,taz_60,1058
taz_11,taz_61,341
taz_11,taz_62,12
taz_11,taz_63,1152
taz_11,taz_64,1279
taz_11,taz_65,1792
taz_11,taz_66,315
taz_11,taz_67,1069
taz_11,taz_68,869
taz_11,taz_69,1472
taz_11,taz_7,926
taz_11,taz_70,166
taz_11,taz_71,1303
taz_11,taz_72,1089
taz_11,taz_73,847
taz_11,taz_74,1244
taz_11,taz_75,1119
taz_11,taz_76,373
taz_11,taz_77,1721
taz_11,taz_78,749
taz_11,taz_79,425
taz_11,taz_8,731
taz_11,taz_80,970
taz_11,taz_81,894
taz_11,taz_82,1043
taz_11,taz_83,526
taz_11,taz_84,496
taz_11,taz_85,1998
taz_11,taz_86,1019
taz_11,taz_87,1185
taz_11,taz_88,1984
taz_11,taz_89,787
taz_11,taz_9,1766
taz_11,taz_91,60
taz_11,taz_92,1249
taz_11,taz_93,965
taz_11,taz_94,810
taz_11,taz_95,1739
taz_11,taz_96,1037
taz_11,taz_97,1334
taz_11,taz_98,1741
taz_11,taz_99,487
taz_12,taz_0,1778
taz_12,taz_1,27
taz_12,taz_10,752
taz_12,taz_100,1953
taz_12,taz_101,1966
taz_12,taz_11,383
taz_12,taz_13,489
taz_12,taz_14,413
taz_12,taz_15,1294
taz_12,taz_16,823
taz_12,taz_17,372
taz_12,taz_18,1180
taz_12,taz_19,1646
taz_12,taz_2,1259
taz_12,taz_20,1902
taz_12,taz_21,1506
taz_12,taz_22,1602
taz_12,taz_23,554
taz_12,taz_24,632
taz_12,taz_25,721
taz_12,taz_26,687
taz_12,taz_27,1453
taz_12,taz_28,1569
taz_12,taz_29,895
taz_12,taz_3,1611
taz_12,taz_30,1712
taz_12,taz_31,1724
taz_12,taz_32,1227
taz_12,taz_33,101
taz_12,taz_34,1836
taz_12,taz_35,1181
taz_12,taz_36,732
taz_12,taz_37,1626
taz_12,taz_38,1261
taz_12,taz_39,1916
taz_12,taz_4,1883
taz_12,taz_40,183
taz_12,taz_41,1446
taz_12,taz_42,71
taz_12,taz_43,1460
taz_12,taz_44,22
taz_12,taz_45,1974
taz_12,taz_46,1820
taz_12,taz_47,486
taz_12,taz_48,1946
taz_12,taz_49,1834
taz_12,taz_5,310
taz_12,taz_50,1855
taz_12,taz_51,1611
taz_12,taz_52,148
taz_12,taz_53,1879
taz_12,taz_54,1077
taz_12,taz_55,259
taz_12,taz_56,1249
taz_12,taz_57,963
taz_12,taz_58,1829
taz_12,taz_59,586
taz_12,taz_6,1595
taz_12,taz_60,1761
taz_12,taz_61,1659
taz_12,taz_62,935
taz_12,taz_63,459
taz_12,taz_64,1038
taz_12,taz_65,55
taz_12,taz_66,808
taz_12,taz_67,1316
taz_12,taz_68,109
taz_12,taz_69,1465
taz_12,taz_7,845
taz_12,taz_70,91
taz_12,taz_71,357
taz_12,taz_72,1494
taz_12,taz_73,217
taz_12,taz_74,1321
taz_12,taz_75,819
taz_12,taz_76,1828
taz_12,taz_77,1811
taz_12,taz_78,1113
taz_12,taz_79,109
taz_12,taz_8,453
taz_12,taz_80,1349
taz_12,taz_81,1892
taz_12,taz_82,1853
taz_12,taz_83,748
taz_12,taz_84,1303
taz_12,taz_85,44
taz_12,taz_86,1849
taz_12,taz_87,1449
taz_12,taz_88,1429
taz_12,taz_89,1674
taz_12,taz_9,1828
taz_12,taz_91,197
taz_12,taz_92,423
taz_12,taz_93,1121
taz_12,taz_94,224
taz_12,taz_95,597
taz_12,taz_96,1093
taz_12,taz_97,325
taz_12,taz_98,680
taz_12,taz_99,1452
taz_13,taz_0,632
taz_13,taz_1,1276
taz_13,taz_10,1861
taz_13,taz_100,1565
taz_13,taz_101,526
taz_13,taz_11,1459
taz_13,taz_12,1348
taz_13,taz_14,1120
taz_13,taz_15,616
taz_13,taz_16,695
taz_13,taz_17,383
taz_13,taz_18,804
taz_13,taz_19,1679
taz_13,taz_2,1128
taz_13,taz_20,563
taz_13,taz_21,1268
taz_13,taz_22,454
taz_13,taz_23,1952
taz_13,taz_24,1035
taz_13,taz_25,854
taz_13,taz_26,1194
taz_13,taz_27,1288
taz_13,taz_28,1723
taz_13,taz_29,1798
taz_13,taz_3,276
taz_13,taz_30,47
taz_13,taz_31,1239
taz_13,taz_32,1870
taz_13,taz_33,1232
taz_13,taz_34,1340
taz_13,taz_35,1026
taz_13,taz_36,1583
taz_13,taz_37,432
taz_13,taz_38,1674
taz_13,taz_39,1695
taz_13,taz_4,255
taz_13,taz_40,661
taz_13,taz_41,1728
taz_13,taz_42,400
taz_13,taz_43,892
taz_13,taz_44,502
taz_13,taz_45,1226
taz_13,taz_46,630
taz_13,taz_47,626
taz_13,taz_48,1646
taz_13,taz_49,603
taz_13,taz_5,928
taz_13,taz_50,508
taz_13,taz_51,1054
taz_13,taz_52,655
taz_13,taz_53,1606
taz_13,taz_54,1386
taz_13,taz_55,638
taz_13,taz_56,626
taz_13,taz_57,1740
taz_13,taz_58,1926
taz_13,taz_59,968
taz_13,taz_6,1745
taz_13,taz_60,1362
taz_13,taz_61,1773
taz_13,taz_62,713
taz_13,taz_63,1051
taz_13,taz_64,992
taz_13,taz_65,1975
taz_13,taz_66,969
taz_13,taz_67,1506
taz_13,taz_68,1717
taz_13,taz_69,547
taz_13,taz_7,1322
taz_13,taz_70,1089
taz_13,taz_71,191
taz_13,taz_72,1541
taz_13,taz_73,805
taz_13,taz_74,812
taz_13,taz_75,1225
taz_13,taz_76,1768
taz_13,taz_77,1482
taz_13,taz_78,967
taz_13,taz_79,652
taz_13,taz_8,1358
taz_13,taz_80,787
taz_13,taz_81,847
taz_13,taz_82,565
taz_13,taz_83,1730
taz_13,taz_84,907
taz_13,taz_85,477
taz_13,taz_86,261
taz_13,taz_87,261
taz_13,taz_88,1474
taz_13,taz_89,1217
taz_13,taz_9,1414
taz_13,taz_91,1419
taz_13,taz_92,938
taz_13,taz_93,1876
taz_13,taz_94,740
taz_13,taz_95,536
taz_13,taz_96,1564
taz_13,taz_97,255
taz_13,taz_98,836
taz_13,taz_99,1406
taz_14,taz_0,722
taz_14,taz_1,978
taz_14,taz_10,773
taz_14,taz_100,65
taz_14,taz_101,1241
taz_14,taz_11,75
taz_14,taz_12,2
taz_14,taz_13,400
taz_14,taz_15,161
taz_14,taz_16,947
taz_14,taz_17,939
taz_14,taz_18,1483
taz_14,taz_19,496
taz_14,taz_2,1750
taz_14,taz_20,747
taz_14,taz_21,1160
taz_14,taz_22,1939
taz_14,taz_23,29
taz_14,taz_24,141
taz_14,taz_25,1985
taz_14,taz_26,469
taz_14,taz_27,234
taz_14,taz_28,602
taz_14,taz_29,13
taz_14,taz_3,1594
taz_14,taz_30,926
taz_14,taz_31,1052
taz_14,taz_32,1398
taz_14,taz_33,444
taz_14,taz_34,16
taz_14,taz_35,1918
taz_14,taz_36,1139
taz_14,taz_37,1342
taz_14,taz_38,1498
taz_14,taz_39,801
taz_14,taz_4,1135
taz_14,taz_40,1258
taz_14,taz_41,1881
taz_14,taz_42,1615
taz_14,taz_43,480
taz_14,taz_44,1392
taz_14,taz_45,1209
taz_14,taz_46,437
taz_14,taz_47,1629
taz_14,taz_48,253
taz_14,taz_49,1255
taz_14,taz_5,1471
taz_14,taz_50,1581
taz_14,taz_51,789
taz_14,taz_52,362
taz_14,taz_53,632
taz_14,taz_54,1687
taz_14,taz_55,807
taz_14,taz_56,877
taz_14,taz_57,994
taz_14,taz_58,1963
taz_14,taz_59,1700
taz_14,taz_6,237
taz_14,taz_60,550
taz_14,taz_61,945
taz_14,taz_62,768
taz_14,taz_63,1569
taz_14,taz_64,365
taz_14,taz_65,651
taz_14,taz_66,452
taz_14,taz_67,253
taz_14,taz_68,1614
taz_14,taz_69,227
taz_14,taz_7,143
taz_14,taz_70,758
taz_14,taz_71,1186
taz_14,taz_72,1572
taz_14,taz_73,413
taz_14,taz_74,1527
taz_14,taz_75,216
taz_14,taz_76,1268
taz_14,taz_77,357
taz_14,taz_78,639
taz_14,taz_79,1721
taz_14,taz_8,782
taz_14,taz_80,1013
taz_14,taz_81,357
taz_14,taz_82,723
taz_14,taz_83,1368
taz_14,taz_84,1205
taz_14,taz_85,1829
taz_14,taz_86,629
taz_14,taz_87,1718
taz_14,taz_88,1188
taz_14,taz_89,962
taz_14,taz_9,400
taz_14,taz_91,352
taz_14,taz_92,315
taz_14,taz_93,1057
taz_14,taz_94,1872
taz_14,taz_95,1576
taz_14,taz_96,1319
taz_14,taz_97,879
taz_14,taz_98,147
taz_14,taz_99,89
taz_15,taz_0,1893
taz_15,taz_1,1726
taz_15,taz_10,1837
taz_15,taz_100,370
taz_15,taz_101,1993
taz_15,taz_11,1344
taz_15,taz_12,33
taz_15,taz_13,966
taz_15,taz_14,1502
taz_15,taz_16,198
taz_15,taz_17,863
taz_15,taz_18,1757
taz_15,taz_19,255
taz_15,taz_2,14
taz_15,taz_20,1866
taz_15,taz_21,448
taz_15,taz_22,110
taz_15,taz_23,136
taz_15,taz_24,1876
taz_15,taz_25,915
taz_15,taz_26,1249
taz_15,taz_27,1248
taz_15,taz_28,1214
taz_15,taz_29,398
taz_15,taz_3,1072
taz_15,taz_30,1405
taz_15,taz_31,772
taz_15,taz_32,1066
taz_15,taz_33,1142
taz_15,taz_34,1860
taz_15,taz_35,777
taz_15,taz_36,1788
taz_15,taz_37,746
taz_15,taz_38,678
taz_15,taz_39,769
taz_15,taz_4,873
taz_15,taz_40,1118
taz_15,taz_41,1486
taz_15,taz_42,972
taz_15,taz_43,647
taz_15,taz_44,1829
taz_15,taz_45,460
taz_15,taz_46,779
taz_15,taz_47,1939
taz_15,taz_48,886
taz_15,taz_49,6
taz_15,taz_5,1822
taz_15,taz_50,1892
taz_15,taz_51,20
taz_15,taz_52,1684
taz_15,taz_53,221
taz_15,taz_54,454
taz_15,taz_55,1781
taz_15,taz_56,438
taz_15,taz_57,871
taz_15,taz_58,1673
taz_15,taz_59,1659
taz_15,taz_6,299
taz_15,taz_60,734
taz_15,taz_61,1712
taz_15,taz_62,692
taz_15,taz_63,669
taz_15,taz_64,988
taz_15,taz_65,1915
taz_15,taz_66,330
taz_15,taz_67,648
taz_15,taz_68,588
taz_15,taz_69,1066
taz_15,taz_7,1748
taz_15,taz_70,1353
taz_15,taz_71,1386
taz_15,taz_72,1255
taz_15,taz_73,1546
taz_15,taz_74,774
taz_15,taz_75,463
taz_15,taz_76,68
taz_15,taz_77,553
taz_15,taz_78,284
taz_15,taz_79,697
taz_15,taz_8,1658
taz_15,taz_80,1960
taz_15,taz_81,336
taz_15,taz_82,435
taz_15,taz_83,206
taz_15,taz_84,503
taz_15,taz_85,1553
taz_15,taz_86,1316
taz_15,taz_87,667
taz_15,taz_88,1940
taz_15,taz_89,605
taz_15,taz_9,59
taz_15,taz_91,1195
taz_15,taz_92,437
taz_15,taz_93,670
taz_15,taz_94,1744
taz_15,taz_95,1062
taz_15,taz_96,1135
taz_15,taz_97,1451
taz_15,taz_98,1582
taz_15,taz_99,1424
taz_16,taz_0,161
taz_16,taz_1,860
taz_16,taz_10,786
taz_16,taz_100,1511
taz_16,taz_101,241
taz_16,taz_11,1103
taz_16,taz_12,1985
taz_16,taz_13,1265
taz_16,taz_14,679
taz_16,taz_15,694
taz_16,taz_17,1471
taz_16,taz_18,685
taz_16,taz_19,192
taz_16,taz_2,1150
taz_16,taz_20,1343
taz_16,taz_21,52
taz_16,taz_22,395
taz_16,taz_23,1063
taz_16,taz_24,1509
taz_16,taz_25,166
taz_16,taz_26,584
taz_16,taz_27,13
taz_16,taz_28,772
taz_16,taz_29,293
taz_16,taz_3,1368
taz_16,taz_30,646
taz_16,taz_31,1358
taz_16,taz_32,176
taz_16,taz_33,1310
taz_16,taz_34,1010
taz_16,taz_35,472
taz_16,taz_36,79
taz_16,taz_37,1693
taz_16,taz_38,1420
taz_16,taz_39,448
taz_16,taz_4,1582
taz_16,taz_40,1323
taz_16,taz_41,1871
taz_16,taz_42,142
taz_16,taz_43,1530
taz_16,taz_44,1222
taz_16,taz_45,729
taz_16,taz_46,1719
taz_16,taz_47,1065
taz_16,taz_48,1067
taz_16,taz_49,845
taz_16,taz_5,558
taz_16,taz_50,1810
taz_16,taz_51,1247
taz_16,taz_52,938
taz_16,taz_53,1978
taz_16,taz_54,771
taz_16,taz_55,1980
taz_16,taz_56,1322
taz_16,taz_57,655
taz_16,taz_58,1123
taz_16,taz_59,701
taz_16,taz_6,369
taz_16,taz_60,521
taz_16,taz_61,490
taz_16,taz_62,326
taz_16,taz_63,526
taz_16,taz_64,388
taz_16,taz_65,1780
taz_16,taz_66,1628
taz_16,taz_67,345
taz_16,taz_68,1716
taz_16,taz_69,251
taz_16,taz_7,3
taz_16,taz_70,683
taz_16,taz_71,58
taz_16,taz_72,38
taz_16,taz_73,882
taz_16,taz_74,1073
taz_16,taz_75,344
taz_16,taz_76,819
taz_16,taz_77,266
taz_16,taz_78,1312
taz_16,taz_79,1573
taz_16,taz_8,210
taz_16,taz_80,1842
taz_16,taz_81,496
taz_16,taz_82,305
taz_16,taz_83,1018
taz_16,taz_84,442
taz_16,taz_85,160
taz_16,taz_86,1639
taz_16,taz_87,1238
taz_16,taz_88,1838
taz_16,taz_89,478
taz_16,taz_9,1301
taz_16,taz_91,227
taz_16,taz_92,1698
taz_16,taz_93,750
taz_16,taz_94,1272
taz_16,taz_95,695
taz_16,taz_96,1120
taz_16,taz_97,875
taz_16,taz_98,392
taz_16,taz_99,261
taz_17,taz_0,987
taz_17,taz_1,1824
taz_17,taz_10,1866
taz_17,taz_100,1704
taz_17,taz_101,868
taz_17,taz_11,1914
taz_17,taz_12,981
taz_17,taz_13,1581
taz_17,taz_14,1366
taz_17,taz_15,1762
taz_17,taz_16,708
taz_17,taz_18,1094
taz_17,taz_19,1002
taz_17,taz_2,1570
taz_17,taz_20,1562
taz_17,taz_21,597
taz_17,taz_22,246
